source,date,rating,visit_date,source_url,platform_rating,platform_reviews_count,captured_at,evidence_type,text,mentions_queue,mentions_price,mentions_crowd,mentions_fastpass,mentions_app,mentions_children,sentiment,attractions_mentioned
tripadvisor,2026-04-01,5,2026-03,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-or10-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,577,2026-05-08,public_review_excerpt,"Положительный отзыв о концертном зале: современно, чисто, приветливый персонал, много мест перекусить.",False,False,False,False,False,False,positive,
tripadvisor,2025-11-02,1,2025-11,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-or10-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,577,2026-05-08,public_review_excerpt,"Негативный отзыв: бесконечные очереди, перегруженные аттракционы, дорогая еда и ощущение сильной коммерциализации.",True,False,False,False,False,False,negative,
tripadvisor,2025-11-18,1,2025-11,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-or10-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,577,2026-05-08,public_review_excerpt,"За 4 человек стандартный билет около 15 тыс.; fast pass оценен как очень дорогой, очереди в будни меньше, но часть аттракционов была закрыта.",True,True,False,False,False,False,negative,
tripadvisor,2026-01-19,5,2026-01,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-or10-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,577,2026-05-08,public_review_excerpt,"Позитивный отзыв школьной группы: чисто, аттракционы новые, персонал тщательно проверяет крепления.",False,False,False,False,False,False,positive,
tripadvisor,,1,2025-07,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-or10-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,577,2026-05-08,public_review_excerpt,"Семейный визит в будний день: потеряли время на прогулку, потом пришлось стоять в очередях 1.5-2 часа на короткие аттракционы.",True,False,False,False,False,False,negative,
tripadvisor,,1,2025-07,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-or10-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,577,2026-05-08,public_review_excerpt,"Автор жалуется на разделение очередей: экспресс-посетители идут большим потоком, обычная очередь движется медленно.",True,True,False,True,False,False,negative,
tripadvisor,2025-09-03,,,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-or20-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,577,2026-05-08,public_review_excerpt,"Позитивный отзыв: понравились зоны Маугли, динозавры, Кобра, Молот судьбы и Полет в тоннеле; совет прийти к открытию.",False,False,False,False,False,False,neutral,Молот судьбы
tripadvisor,2026-04-21,5,2026-04,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-or20-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,577,2026-05-08,public_review_excerpt,"Позитивный отзыв о новом аттракционе Гран-при мечты, VR-гонке и заброшенном доме.",False,False,False,False,False,False,positive,
tripadvisor,2025-08-06,5,2025-06,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-or20-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,577,2026-05-08,public_review_excerpt,"Позитивный отзыв: волшебная атмосфера, аттракционы, кафе Hello Kitty, обслуживание и еда понравились.",False,False,False,False,False,False,positive,
tripadvisor,2025-08-02,5,2025-07,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-or20-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,577,2026-05-08,public_review_excerpt,"Позитивный отзыв друзей: удобная парковка, метро рядом, крытое пространство, кафе, лавочки и игровые автоматы.",False,False,False,False,False,False,positive,
tripadvisor,,5,2025-07,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-or20-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,577,2026-05-08,public_review_excerpt,"Позитивный отзыв: крытый парк очень большой, гости увезли эмоции и сувениры.",False,False,False,False,False,False,positive,
yandex_reviews,2025-08-05,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Ужасное место, очереди огромные, персонал медленный, в очереди прошло около 40 минут.",True,False,False,False,False,False,negative,
yandex_reviews,2025-07-14,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,Очень большие очереди на карусели. За три часа получилось только три аттракциона.,True,False,False,False,False,False,neutral,
yandex_reviews,2024-09-22,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,Ребенку очень понравилось.,False,False,False,False,False,False,positive,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Огромный плюс данного парка это то, что он находится в помещении. Мы выбрали для посещения день, когда был по прогнозу ливень. В итоге были с открытия и почти до закрытия, дождя не видели, не слышали)",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Хороший семейный парк развлечений, разнообразные аттракционы как для маленьких деток (зона Смурфики), так и для любителей экстрима (зона Черепашек Ниндзя, наш любимый аттракцион «Молот Судьбы»), есть необычный аттракцион…",False,False,False,False,False,False,neutral,Молот судьбы
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Прочитал множество отзывов. Были люди, которые ставили крайне низкие оценки, но я вообще не нашёл, к чему придраться, если соблюсти все логичные правила. Во-первых, в будние дни не только цена дешевле, но и очереди на аттракционы минимальные (самое долгое, где мы…",True,True,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Очень красиво. Много развлечений. Ребёнок в восторге. Очереди на аттракционы приличные, даже в первый час после открытия. А чем позже, тем очереди больше. На некоторые локации не попали из-за очередей на 2 часа. Ели возле отеля «Трансильвания» (таверна «Страхов»). Цены на…",True,True,False,False,False,False,positive,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Остров мечты - это место, где должен побывать каждый ребёнок. Это невероятное место, там всё безумно красиво. Аттракционы для всех возрастов. Единственное, так это то, что есть ограничения на разные аттракционы по росту ребенка. У меня дети разного возраста и роста.…",False,False,False,False,False,True,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Прекрасное место - Остров Мечты! Мы были впервые 18.02.26 и остались в восторге! Во-первых очередей не было, что очень порадовало, подходили и сразу катались, даже на тех горках, на которых мы не рискнули, очередей не было. Провели мы весь день в парке от открытия…",False,False,False,False,False,False,positive,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Детям очень понравилось, были практически на всех атракционах. Кстати, часть атракционов - типа шоу, воздушногт экспресса- в билет не входит и оплачивается…",False,True,False,True,False,True,positive,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Замечательное место. Огромное количество аттракционов для всех возрастов. Единый абонемент - входной билет, а дальше катаешься хоть весь день. Есть американские горки, всякие экстремальные карусели. Много тематических зон. Ходить лучше в будние дни, так как в выходные…",False,True,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Остров мечты – это отличный парк развлечений европейского уровня. Большой набор разных аттракционов для разных возрастов и уровней страха. Обязательно рекомендую идти с эктра-входом для детей, иначе огромное кол-во времени потратите на очереди (реально где-то можно…",True,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Незабываемый отдых!!! Дети были просто в восторге!!! Были с 12.00 и до закрытия, покатались на всём. Лучше сразу идти на горки черепашек ниндзя и на молот судьбы, что бы потом не стоять большие очереди, это по моему самые востребованные аттракционы. Но атракционы это…",True,False,False,False,False,True,positive,Молот судьбы
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,Место просто бомба. Обожаю не раз была. Нужно приходить в будни если хочешь хот на чем то покататься 😁 если выходные то брать экспресс билет. Для детей самое то. Для взрослых я лично встретила где то 6 аттракционов. Место безумно красивое как в сказке. Обязательно буду ходить ещё.,False,True,False,True,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Были здесь с семьей в пятницу. Начитавшись отзывов, конечно, были сомнения, что придется провести много времени в очередях, но в итоге очередей не было вообще.",True,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Отличное место! Дети и мы в полном восторге! Начитались в интернете негативных отзывов и ехали с опаской, но ни один негативный отзыв не подтвердился!!! Хорошая парковка рядом с парком, абсолютно адекватные цены! Мы были в будний день, приехали к открытию,…",False,True,False,False,False,True,positive,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Замечательное место для отдыха и игр.Аттракционы,кафе,услуги и магазины- все самое необходимое в одном месте,плюс куча интересных локаций для фото и просто отдыха всей семьёй или романтических прогулок)",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Карта безлимит ,катаешься неограниченное количество раз ,единственное нужно приходить к открытию 12:00 и лучше в будни,тк очереди в выходные и праздничные дни очень большие!Аттракционов…",True,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Очень классное место для совместного отдыха семьей , взрослым тоже интересно и весело , как и детям )))) можно посещать различные аттракционы вместе .",False,False,False,False,False,True,positive,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Самый лучший игровой центр в Москве. Всё для детей, от игровых площадок до магазинов и кафе. Маленький городок для детворы",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Отличное место для детей и взрослых, если хотите окунуться в детство или пощекотать нервишки адреналином.",False,False,False,False,False,False,positive,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Билеты не дешевые, но оно того стоит. Билеты лучше покупать онлайн, не рекомендую посещать в праздничные и выходные дни, когда большие…",False,True,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Сказочное место, начиная уже со входа и внешнего вида. Билеты недёшевые, особенно если брать с экспресс входом, но оно того стоит - спокойно и без очередей проходишь на любой аттракцион. Впечатлил размах - как будто попадаешь в другой мир, в сказку, абсолютно нет…",False,True,False,True,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Остров мечты - рай🤩 я там с дня до вечера не накатается! Там очень много аттракцион для детей, и для взрослых) остров мечты👍👍",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Парк нереально красивый и большой. Как только заходите чувствуете себя в сказках) а ещё вы увидите там все герои мультиков и много клоунов. Внутри есть гардероб, ящики для хранения *платные*, туалет, много мест для отдыха и много много разных ресторанов( ресторан…",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,Это просто лучшее место для аттракционов! Мы ездием уже три года на моё день рождения!,False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Этот парк поражает с первого взгляда! Поистине российский Диснейленд. Как же фантастически красиво он украшен снаружи и внутри к Новому году! Прямо на ""улочках"" внутри парка проходили небольшие представления. Кажется, будто мы и вправду находимся в каком-то…",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Чудесное место для отдыха как детей, так и родителей. Много интересного и удивительного. Классные аттракционы для малышей, подростков и взрослых. Тематические зоны, аниматоры, украшения - всё супер! Очереди на некоторые аттракционы конечно очень длинные, но…",True,False,False,False,False,False,negative,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,Много денег нужно большинство автоматов аттракционов платно большая территория все на поток есть там магдак детям нравится есть аттракционы крутые думайте на сом кататься ребенку сами есть где страшненько,False,False,False,False,False,True,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Была в этом парке всей семьей в четверг , будний день, очередей практически не было . Приветливый персонал , заботливый и ответственный! Работает согласно регламентам безопасности. Подсказывает куда пройти…",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Были п парке в четверг 05.03.26 года и не прогодали. Прияехали к 13.00,гароду почти небыло, брали специально день отпуска, чтобы накатать я без очереди. Ребёнок 8 лет 140 см. прошёл по всем аттракционам, на некоторых по несколько раз. 17 лет ребёнок рост 186…",True,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Замечательный парк аттракционов. Под крышей, от погоды не зависит. Множество локаций, красиво с душой сделанных. Аттракционов множество, на любой вкус. Советую посетить с детьми, и без детей тоже советую. Единственное, много народа, и очередь на популярные…",True,False,True,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Посещение парка аттракционов ""Остров мечты"" оставило море положительных эмоций и ярких впечатлений! Атмосфера праздника царит повсюду благодаря красочным декорациям, веселой музыке и доброжелательному персоналу. Отдельно хочется отметить чистоту…",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Самое запоминающиеся место для досуга всей семьёй. Были с ребенком на весенних каникулах, ходили в будний день. Пришли к самому открытию. С 12:00 до 15:00 катались без очередей. С 15:00 до 19:00 в парке народу прибавилось, очереди были, но не критичные, а с 19:00 катались…",True,False,True,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Были с внуком с 6.01.2026г. Просто сказка! Очень понравилось. Все продумано, каждая мелочь. У нас был ранний проход с 10 часов, поэтому мы успели прокатиться на некоторых аттракционах без очереди. Особенно понравилась Кобра (выброс адреналина) , отель…",True,False,False,False,False,False,positive,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Посетили с семьей «Остров мечты» и остались в полном восторге! Нас поразило все: от тематических зон до чистоты и ухоженной территории. Аттракционы в парке созданы для каждого, для любого возраста и настроения. Чувствуется, что сюда вложено столько души и труда.…",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Огромная территория , можно просто гулять среди декораций ,есть зоны отдыха много аттракционов для детей и взрослых..короче как…",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Первый раз в жизни пожалела о том , что дети выросли …. НО 👆 впереди ещё много времени , чтобы дождавшись внуков , провести с ними здесь целый день …. Место впечатлило , затянуло …погрузило в предновогоднюю красоту ещё со входа !!! 🎄…",False,False,False,False,False,True,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Место очень классное! Если бы в моем детстве я приехала сюда , я бы была в восторге от вида, красоты и такого сказочного города. были в новогодние каникулы, понятно, что очереди будут огромными, в целом мы это осознавали, но нужно было сводить детей именно в этот период.…",True,False,False,False,False,False,positive,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"В острове мечты реально обалденно! Приходили сюда с семьёй недавно, с мужем и двумя девочками и остались в прекрасном настроении 🤩",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Тут есть самые разные аттракционы, спокойные и для тех кто любит поэкстремальней. Мы в месте побывали и на тех и на тех, и везде было…",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Парк огромный, вызывает восторг не только у маленьких посетителей, но и у больших, которые любят, когда адреналин кипит в крови. Билеты приобрели заранее онлайн, на входе за ними очередь, на вход тоже после открытия в 12:30 ещё была очередь. Самое ужасное это очереди. Мы…",True,True,False,False,False,False,negative,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Прекрасный парк аттракционов . Все продумано. Много фуд кортов, огромные гардеробы , где люди не толпятся ! Есть возможность купить билет скороход , чтобы без очередей кататься . Но ) у нас был скороход , таких хитрых , видимо много , так что и на скороход стояла очередь !…",True,True,False,False,False,False,negative,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Были ни один раз и всегда довольны времяпрепровождением . Хорошие и качественные аттракционы (в сравнении с другими парками Москвы). Полет в туннеле, молот судьбы, кобра, мельница, красная башня и храм огня чудесные и в меру экстремальные; остальные - более детские, но…",False,False,False,False,False,False,neutral,Мельница;Молот судьбы
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Это место — самая настоящая детская мечта. Огромный мир, его можно исследовать бесконечно. Крутые аттракционы, вкусная еда и множество других развлечений, от которых разбегаются глаза.",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"И если раньше, чтобы сделать их счастливыми , надо было ехать в Парк Легенд, Порт Авентуру или Юниверсал,…",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Атмосфера и дизайн просто потрясающие. Парк выглядит как настоящая сказка: яркие декорации, красивые фонтаны, ухоженные газоны и множество интересных деталей создают ощущение, будто ты попал в волшебный мир. Особенно впечатлили детализированные фигуры…",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Это потрясающее место, красиво как в диснеевском мультике, работники все очень вежливые, нам может с днем повезло, мы вообще нигде в очереди не стояли. Полет в туннель классный аттракцион, длится всего 60 секунд, но их достаточно 😂…",True,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Очень крутое место для отдыха. В 12:00 очереди на вход нет. До 13:00 на аттракционы можно спокойно ходить, а после приходится ждать от 15 до 30 минут. Но это того стоит. Есть аттракционы и для детей и для взрослых. Мне очень понравились «молот судьбы» и «мельница», а также…",True,False,False,False,False,False,neutral,Мельница;Молот судьбы
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Это невероятное место. Мы, конечно, не были с Дисней-ленде, но ""Остров мечты"" действительно завораживает. Территория просто гигантская! Это целый город в городе. Цены приемлемые. Прошли по семейному билету вчетвером за 12 тыс. Практически все аттракционы были в нашем…",False,True,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Изумительный парк аттракционов. Были там всей семьёй ( двое детей пяти лет) накатались до безпамятства. Повезло что пошли в будний день, думаю, что в выходной была бы очередь, так как в понедельник практически не было очереди. Изумительное кафе на территории парка…",True,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Были в парке с детьми 20.12.25 , с 12 часов и вышли в 19 часов, дети хотели еще остаться, покатались почти на всех аттракционах , да на некоторых пришлось постоять по 20-30 минут , но оно того стоило , ребенку 5 лет и 15 лет понравилось , можно вкусно перекусить ,…",True,False,False,False,False,True,positive,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Закрытый парк развлечений.. ну просто рай для детей и даже взрослых!, правда мы были там 13.01.26( может этот день считали праздничным?), на сайте было написано во вторник и среду сумма на одного человека-2100₽, мы пошли во вторник.. но заплатили на одного 2700₽. Но в любом случае…",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Ярко, красочно, много развлечений, но мне показалось через пару часов шумно, и захотелось по тише. Карусели конечно разнообразные, захватывают дух (моя вестибулярка в шоке, качало ещё на следующий день, кстати и детей тоже 7 и 12 лет) есть и на отдыхе(Отель…",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Повезло: два дня подряд катались без больших очередей, успели многое попробовать.",False,False,False,False,False,False,neutral,
yandex_reviews_docx,,,,https://reviews.yandex.ru/product/park-razvlechenii-ostrov-mechty--64749272,,,2026-05-08,public_review_excerpt,"Ценник приятный, развлечений много. Но конечно билеты экспресс намного лучше, пройти можно без очереди . Учтите если дети ниже 90 см , особо никуда их не пустят. Там у каждого аттракциона стоит ростомер , и если меньше , можно даже не стоять. Очередь это самое наверное…",True,True,False,True,False,True,neutral,
